Start Date/Time,End Date/Time,Duration (secs)
20-Oct-2022 05:09:03,20-Oct-2022 05:30:33,1290
20-Oct-2022 05:30:33,20-Oct-2022 05:32:03,90
20-Oct-2022 05:36:03,20-Oct-2022 05:46:33,630
20-Oct-2022 05:48:03,20-Oct-2022 05:55:03,420
20-Oct-2022 05:56:33,20-Oct-2022 05:58:33,120
20-Oct-2022 06:00:33,20-Oct-2022 06:03:03,150
20-Oct-2022 06:04:33,20-Oct-2022 06:07:33,180
20-Oct-2022 06:10:33,20-Oct-2022 06:17:03,390
20-Oct-2022 06:17:03,20-Oct-2022 06:20:33,210
20-Oct-2022 21:51:04,20-Oct-2022 22:11:04,1200
20-Oct-2022 22:11:04,20-Oct-2022 22:41:34,1830
20-Oct-2022 22:41:34,20-Oct-2022 23:34:34,3180
20-Oct-2022 23:34:34,20-Oct-2022 23:44:34,600
20-Oct-2022 23:44:34,21-Oct-2022 01:30:34,6360
21-Oct-2022 01:30:34,21-Oct-2022 02:02:04,1890
21-Oct-2022 02:02:04,21-Oct-2022 02:49:04,2820
21-Oct-2022 02:49:34,21-Oct-2022 03:21:04,1890
21-Oct-2022 03:21:34,21-Oct-2022 03:23:34,120
21-Oct-2022 03:23:34,21-Oct-2022 03:26:34,180
21-Oct-2022 03:27:04,21-Oct-2022 03:28:04,60
21-Oct-2022 03:28:04,21-Oct-2022 03:33:04,300
21-Oct-2022 03:33:04,21-Oct-2022 03:33:34,30
21-Oct-2022 03:34:04,21-Oct-2022 04:54:34,4830
21-Oct-2022 04:57:34,21-Oct-2022 05:03:34,360
21-Oct-2022 05:06:34,21-Oct-2022 05:11:34,300
21-Oct-2022 05:27:04,21-Oct-2022 05:54:04,1620
21-Oct-2022 05:54:04,21-Oct-2022 05:55:34,90
21-Oct-2022 05:55:34,21-Oct-2022 05:56:04,30
21-Oct-2022 05:56:04,21-Oct-2022 05:57:04,60
21-Oct-2022 05:57:04,21-Oct-2022 05:57:34,30
21-Oct-2022 05:58:34,21-Oct-2022 06:05:04,390
21-Oct-2022 06:05:34,21-Oct-2022 06:15:04,570
21-Oct-2022 06:16:34,21-Oct-2022 06:22:34,360
21-Oct-2022 06:22:34,21-Oct-2022 06:24:34,120
21-Oct-2022 21:25:27,21-Oct-2022 21:28:27,180
21-Oct-2022 21:30:27,21-Oct-2022 21:42:57,750
21-Oct-2022 21:42:57,21-Oct-2022 22:02:57,1200
21-Oct-2022 22:02:57,21-Oct-2022 22:17:57,900
21-Oct-2022 22:17:57,21-Oct-2022 22:19:57,120
21-Oct-2022 22:19:57,21-Oct-2022 22:47:27,1650
21-Oct-2022 22:47:27,21-Oct-2022 22:52:57,330
21-Oct-2022 22:52:57,21-Oct-2022 22:59:57,420
21-Oct-2022 22:59:57,21-Oct-2022 23:00:27,30
21-Oct-2022 23:06:57,21-Oct-2022 23:37:57,1860
21-Oct-2022 23:37:57,21-Oct-2022 23:40:27,150
21-Oct-2022 23:40:27,22-Oct-2022 00:14:57,2070
22-Oct-2022 00:21:27,22-Oct-2022 00:55:27,2040
22-Oct-2022 00:55:27,22-Oct-2022 01:17:27,1320
22-Oct-2022 01:17:27,22-Oct-2022 01:20:27,180
22-Oct-2022 01:20:27,22-Oct-2022 01:47:57,1650
22-Oct-2022 01:47:57,22-Oct-2022 03:03:57,4560
22-Oct-2022 03:05:27,22-Oct-2022 03:07:57,150
22-Oct-2022 03:08:57,22-Oct-2022 03:18:57,600
22-Oct-2022 03:19:57,22-Oct-2022 03:22:27,150
22-Oct-2022 03:22:27,22-Oct-2022 03:22:57,30
22-Oct-2022 03:29:57,22-Oct-2022 04:15:57,2760
22-Oct-2022 04:16:57,22-Oct-2022 04:17:57,60
22-Oct-2022 04:20:27,22-Oct-2022 04:21:27,60
22-Oct-2022 04:22:57,22-Oct-2022 04:26:27,210
22-Oct-2022 04:31:27,22-Oct-2022 04:35:57,270
22-Oct-2022 04:35:57,22-Oct-2022 04:45:57,600
22-Oct-2022 04:46:27,22-Oct-2022 04:59:27,780
22-Oct-2022 05:00:27,22-Oct-2022 05:16:57,990
22-Oct-2022 05:18:27,22-Oct-2022 05:20:27,120
22-Oct-2022 05:22:27,22-Oct-2022 05:27:27,300
22-Oct-2022 22:02:33,22-Oct-2022 22:20:33,1080
22-Oct-2022 22:20:33,22-Oct-2022 23:10:03,2970
22-Oct-2022 23:10:03,22-Oct-2022 23:21:33,690
22-Oct-2022 23:21:33,22-Oct-2022 23:22:33,60
22-Oct-2022 23:22:33,22-Oct-2022 23:27:03,270
22-Oct-2022 23:27:03,22-Oct-2022 23:45:33,1110
22-Oct-2022 23:45:33,23-Oct-2022 00:25:33,2400
23-Oct-2022 00:27:03,23-Oct-2022 00:28:03,60
23-Oct-2022 00:29:33,23-Oct-2022 00:46:03,990
23-Oct-2022 00:51:33,23-Oct-2022 01:34:33,2580
23-Oct-2022 01:36:03,23-Oct-2022 01:46:03,600
23-Oct-2022 01:46:33,23-Oct-2022 01:51:03,270
23-Oct-2022 01:51:33,23-Oct-2022 01:59:03,450
23-Oct-2022 01:59:03,23-Oct-2022 02:16:03,1020
23-Oct-2022 02:16:03,23-Oct-2022 02:58:33,2550
23-Oct-2022 02:58:33,23-Oct-2022 03:00:03,90
23-Oct-2022 03:00:03,23-Oct-2022 03:21:33,1290
23-Oct-2022 03:22:33,23-Oct-2022 03:23:33,60
23-Oct-2022 03:23:33,23-Oct-2022 03:25:33,120
23-Oct-2022 03:26:03,23-Oct-2022 03:36:33,630
23-Oct-2022 03:40:33,23-Oct-2022 04:26:33,2760
23-Oct-2022 04:26:33,23-Oct-2022 04:38:33,720
23-Oct-2022 05:03:03,23-Oct-2022 05:13:03,600
23-Oct-2022 05:16:03,23-Oct-2022 05:17:33,90
23-Oct-2022 05:30:33,23-Oct-2022 05:44:03,810
23-Oct-2022 05:52:33,23-Oct-2022 06:04:03,690
23-Oct-2022 06:05:33,23-Oct-2022 06:53:03,2850
23-Oct-2022 23:32:03,23-Oct-2022 23:56:03,1440
23-Oct-2022 23:56:03,24-Oct-2022 00:22:33,1590
24-Oct-2022 00:22:33,24-Oct-2022 00:28:03,330
24-Oct-2022 00:28:03,24-Oct-2022 00:32:33,270
24-Oct-2022 00:32:33,24-Oct-2022 00:42:33,600
24-Oct-2022 00:45:33,24-Oct-2022 01:12:33,1620
24-Oct-2022 01:12:33,24-Oct-2022 01:22:03,570
24-Oct-2022 01:22:03,24-Oct-2022 02:09:03,2820
24-Oct-2022 02:09:03,24-Oct-2022 02:27:33,1110
24-Oct-2022 02:27:33,24-Oct-2022 03:03:03,2130
24-Oct-2022 03:03:03,24-Oct-2022 03:07:03,240
24-Oct-2022 03:07:03,24-Oct-2022 03:09:03,120
24-Oct-2022 03:10:33,24-Oct-2022 03:25:33,900
24-Oct-2022 03:25:33,24-Oct-2022 03:28:33,180
24-Oct-2022 03:29:33,24-Oct-2022 03:34:33,300
24-Oct-2022 03:34:33,24-Oct-2022 03:39:03,270
24-Oct-2022 03:39:03,24-Oct-2022 03:45:33,390
24-Oct-2022 03:45:33,24-Oct-2022 03:46:03,30
24-Oct-2022 03:46:03,24-Oct-2022 03:47:33,90
24-Oct-2022 03:47:33,24-Oct-2022 03:59:03,690
24-Oct-2022 03:59:03,24-Oct-2022 04:00:03,60
24-Oct-2022 04:00:03,24-Oct-2022 04:00:33,30
24-Oct-2022 04:54:03,24-Oct-2022 05:12:33,1110
24-Oct-2022 05:17:33,24-Oct-2022 05:41:33,1440
24-Oct-2022 05:42:33,24-Oct-2022 05:53:03,630
24-Oct-2022 05:54:03,24-Oct-2022 06:04:03,600
24-Oct-2022 22:11:03,24-Oct-2022 22:24:33,810
24-Oct-2022 22:24:33,24-Oct-2022 22:26:33,120
24-Oct-2022 22:26:33,24-Oct-2022 22:34:33,480
24-Oct-2022 22:34:33,24-Oct-2022 23:07:03,1950
24-Oct-2022 23:07:03,24-Oct-2022 23:17:03,600
24-Oct-2022 23:18:03,25-Oct-2022 00:00:03,2520
25-Oct-2022 00:00:03,25-Oct-2022 00:04:33,270
25-Oct-2022 00:04:33,25-Oct-2022 00:25:33,1260
25-Oct-2022 00:25:33,25-Oct-2022 00:31:33,360
25-Oct-2022 00:31:33,25-Oct-2022 00:48:03,990
25-Oct-2022 00:48:03,25-Oct-2022 01:04:03,960
25-Oct-2022 01:04:03,25-Oct-2022 01:53:03,2940
25-Oct-2022 01:53:03,25-Oct-2022 01:54:33,90
25-Oct-2022 01:54:33,25-Oct-2022 02:18:33,1440
25-Oct-2022 02:18:33,25-Oct-2022 02:39:03,1230
25-Oct-2022 02:39:03,25-Oct-2022 02:44:03,300
25-Oct-2022 02:44:03,25-Oct-2022 02:51:03,420
25-Oct-2022 02:51:03,25-Oct-2022 03:46:03,3300
25-Oct-2022 03:47:03,25-Oct-2022 03:53:03,360
25-Oct-2022 03:54:03,25-Oct-2022 04:03:33,570
25-Oct-2022 04:06:33,25-Oct-2022 04:12:03,330
25-Oct-2022 04:16:33,25-Oct-2022 04:29:03,750
25-Oct-2022 04:34:03,25-Oct-2022 04:36:33,150
25-Oct-2022 04:41:33,25-Oct-2022 04:44:33,180
25-Oct-2022 04:44:33,25-Oct-2022 04:46:33,120
25-Oct-2022 04:46:33,25-Oct-2022 04:50:33,240
25-Oct-2022 04:50:33,25-Oct-2022 04:59:33,540
25-Oct-2022 04:59:33,25-Oct-2022 05:56:33,3420
25-Oct-2022 05:56:33,25-Oct-2022 06:00:33,240
25-Oct-2022 06:01:33,25-Oct-2022 06:03:33,120
25-Oct-2022 06:05:33,25-Oct-2022 06:20:03,870
25-Oct-2022 22:31:28,25-Oct-2022 22:43:28,720
25-Oct-2022 22:44:58,25-Oct-2022 22:59:58,900
25-Oct-2022 22:59:58,25-Oct-2022 23:23:28,1410
25-Oct-2022 23:23:28,25-Oct-2022 23:41:58,1110
25-Oct-2022 23:41:58,25-Oct-2022 23:44:28,150
25-Oct-2022 23:51:28,26-Oct-2022 00:13:58,1350
26-Oct-2022 00:15:28,26-Oct-2022 00:31:28,960
26-Oct-2022 00:31:28,26-Oct-2022 00:59:28,1680
26-Oct-2022 00:59:28,26-Oct-2022 01:14:58,930
26-Oct-2022 01:14:58,26-Oct-2022 01:30:28,930
26-Oct-2022 01:30:28,26-Oct-2022 02:14:58,2670
26-Oct-2022 02:14:58,26-Oct-2022 02:17:28,150
26-Oct-2022 02:17:28,26-Oct-2022 02:22:28,300
26-Oct-2022 02:22:28,26-Oct-2022 02:46:28,1440
26-Oct-2022 02:48:28,26-Oct-2022 02:50:28,120
26-Oct-2022 02:50:28,26-Oct-2022 02:51:58,90
26-Oct-2022 02:57:58,26-Oct-2022 03:54:58,3420
26-Oct-2022 03:54:58,26-Oct-2022 03:58:28,210
26-Oct-2022 04:02:28,26-Oct-2022 04:25:58,1410
26-Oct-2022 04:27:58,26-Oct-2022 04:34:58,420
26-Oct-2022 04:34:58,26-Oct-2022 04:46:58,720
26-Oct-2022 04:47:28,26-Oct-2022 04:48:58,90
26-Oct-2022 04:48:58,26-Oct-2022 04:53:28,270
26-Oct-2022 04:53:28,26-Oct-2022 05:50:28,3420
26-Oct-2022 05:50:28,26-Oct-2022 05:53:58,210
26-Oct-2022 05:53:58,26-Oct-2022 05:56:28,150
26-Oct-2022 05:57:28,26-Oct-2022 06:28:58,1890
26-Oct-2022 22:12:37,26-Oct-2022 22:31:37,1140
26-Oct-2022 22:31:37,26-Oct-2022 23:02:37,1860
26-Oct-2022 23:02:37,26-Oct-2022 23:14:37,720
26-Oct-2022 23:14:37,26-Oct-2022 23:28:07,810
26-Oct-2022 23:32:07,26-Oct-2022 23:59:37,1650
26-Oct-2022 23:59:37,27-Oct-2022 00:29:37,1800
27-Oct-2022 00:29:37,27-Oct-2022 00:42:07,750
27-Oct-2022 00:42:07,27-Oct-2022 01:09:37,1650
27-Oct-2022 01:10:37,27-Oct-2022 01:55:07,2670
27-Oct-2022 01:55:07,27-Oct-2022 01:58:37,210
27-Oct-2022 01:58:37,27-Oct-2022 01:59:37,60
27-Oct-2022 01:59:37,27-Oct-2022 02:12:37,780
27-Oct-2022 02:12:37,27-Oct-2022 02:21:37,540
27-Oct-2022 02:23:37,27-Oct-2022 02:25:07,90
27-Oct-2022 02:25:37,27-Oct-2022 02:32:37,420
27-Oct-2022 02:35:37,27-Oct-2022 02:42:07,390
27-Oct-2022 02:45:07,27-Oct-2022 02:51:07,360
27-Oct-2022 03:00:07,27-Oct-2022 03:35:07,2100
27-Oct-2022 03:35:07,27-Oct-2022 03:52:37,1050
27-Oct-2022 03:52:37,27-Oct-2022 03:57:37,300
27-Oct-2022 03:57:37,27-Oct-2022 03:59:07,90
27-Oct-2022 03:59:07,27-Oct-2022 04:02:37,210
27-Oct-2022 04:06:37,27-Oct-2022 04:47:07,2430
27-Oct-2022 04:48:07,27-Oct-2022 04:52:37,270
27-Oct-2022 04:52:37,27-Oct-2022 04:54:37,120
27-Oct-2022 04:56:07,27-Oct-2022 04:57:07,60
27-Oct-2022 05:04:37,27-Oct-2022 05:06:07,90
27-Oct-2022 05:10:07,27-Oct-2022 05:10:37,30
27-Oct-2022 05:10:37,27-Oct-2022 05:12:07,90
